Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Insertion Sort,ordem-decrescente,4760,26227,0,11326053,11330812
Insertion Sort,ordem-decrescente,4770,25508,0,11373695,11378464
Insertion Sort,ordem-decrescente,4780,26693,0,11421440,11426219
Insertion Sort,ordem-decrescente,4790,26007,0,11469280,11474069
Insertion Sort,ordem-decrescente,4800,26655,0,11517222,11522021
Insertion Sort,ordem-decrescente,4810,26543,0,11565264,11570073
Insertion Sort,ordem-decrescente,4820,26563,0,11613407,11618226
Insertion Sort,ordem-decrescente,4830,30132,0,11661651,11666480
Insertion Sort,ordem-decrescente,4840,26477,0,11709996,11714835
Insertion Sort,ordem-decrescente,4850,26478,0,11758438,11763287
Insertion Sort,ordem-decrescente,4860,26687,0,11806982,11811841
Insertion Sort,ordem-decrescente,4870,27062,0,11855624,11860493
Insertion Sort,ordem-decrescente,4880,27414,0,11904369,11909248
Insertion Sort,ordem-decrescente,4890,27480,0,11953213,11958102
Insertion Sort,ordem-decrescente,4900,29187,0,12002156,12007055
Insertion Sort,ordem-decrescente,4910,27245,0,12051200,12056109
Insertion Sort,ordem-decrescente,4920,28574,0,12100344,12105263
Insertion Sort,ordem-decrescente,4930,27472,0,12149589,12154518
Insertion Sort,ordem-decrescente,4940,27309,0,12198933,12203872
Insertion Sort,ordem-decrescente,4950,28098,0,12248377,12253326
Insertion Sort,ordem-decrescente,4960,27781,0,12297919,12302878
Insertion Sort,ordem-decrescente,4970,28111,0,12347564,12352533
Insertion Sort,ordem-decrescente,4980,31723,1,12397307,12402286
Insertion Sort,ordem-decrescente,4990,28155,0,12447151,12452140
Insertion Sort,ordem-decrescente,5000,28621,0,12497096,12502095
Insertion Sort,ordem-decrescente,5010,29000,0,12547138,12552147
Insertion Sort,ordem-decrescente,5020,28617,0,12597281,12602300
Insertion Sort,ordem-decrescente,5030,28763,0,12647525,12652554
Insertion Sort,ordem-decrescente,5040,28928,0,12697868,12702907
Insertion Sort,ordem-decrescente,5050,30612,0,12748312,12753361
Insertion Sort,ordem-decrescente,5060,28865,0,12798856,12803915
Insertion Sort,ordem-decrescente,5070,29067,0,12849501,12854570
Insertion Sort,ordem-decrescente,5080,29621,0,12900243,12905322
Insertion Sort,ordem-decrescente,5090,31069,0,12951086,12956175
Insertion Sort,ordem-decrescente,5100,29295,1,13002029,13007128
Insertion Sort,ordem-decrescente,5110,29540,0,13053074,13058183
Insertion Sort,ordem-decrescente,5120,31522,0,13104218,13109337
Insertion Sort,ordem-decrescente,5130,29692,0,13155461,13160590
Insertion Sort,ordem-decrescente,5140,29752,0,13206806,13211945
Insertion Sort,ordem-decrescente,5150,30356,0,13258250,13263399
Insertion Sort,ordem-decrescente,5160,29752,0,13309794,13314953
Insertion Sort,ordem-decrescente,5170,30826,0,13361439,13366608
Insertion Sort,ordem-decrescente,5180,30414,0,13413181,13418360
Insertion Sort,ordem-decrescente,5190,31843,0,13465025,13470214
Insertion Sort,ordem-decrescente,5200,30501,0,13516963,13522162
Insertion Sort,ordem-decrescente,5210,30461,0,13569003,13574212
Insertion Sort,ordem-decrescente,5220,30652,0,13621145,13626364
Insertion Sort,ordem-decrescente,5230,30993,0,13673389,13678618
Insertion Sort,ordem-decrescente,5240,30603,0,13725734,13730973
Insertion Sort,ordem-decrescente,5250,31143,0,13778176,13783425
Insertion Sort,ordem-decrescente,5260,39589,0,13830720,13835979
Insertion Sort,ordem-decrescente,5270,31877,0,13883362,13888631
Insertion Sort,ordem-decrescente,5280,32069,0,13936105,13941384
Insertion Sort,ordem-decrescente,5290,31562,0,13988949,13994238
Insertion Sort,ordem-decrescente,5300,31600,0,14041894,14047193
Insertion Sort,ordem-decrescente,5310,32018,0,14094938,14100247
Insertion Sort,ordem-decrescente,5320,32264,0,14148081,14153400
Insertion Sort,ordem-decrescente,5330,32097,1,14201324,14206653
Insertion Sort,ordem-decrescente,5340,32299,0,14254666,14260005
Insertion Sort,ordem-decrescente,5350,32478,0,14308110,14313459
Insertion Sort,ordem-decrescente,5360,33649,0,14361654,14367013
Insertion Sort,ordem-decrescente,5370,36844,0,14415297,14420666
Insertion Sort,ordem-decrescente,5380,35539,0,14469038,14474417
Insertion Sort,ordem-decrescente,5390,32890,0,14522883,14528272
Insertion Sort,ordem-decrescente,5400,32939,0,14576825,14582224
Insertion Sort,ordem-decrescente,5410,33122,0,14630869,14636278
Insertion Sort,ordem-decrescente,5420,33170,0,14685011,14690430
Insertion Sort,ordem-decrescente,5430,35208,0,14739255,14744684
Insertion Sort,ordem-decrescente,5440,34145,0,14793597,14799036
Insertion Sort,ordem-decrescente,5450,34741,0,14848042,14853491
Insertion Sort,ordem-decrescente,5460,33249,0,14902586,14908045
Insertion Sort,ordem-decrescente,5470,33825,0,14957229,14962698
Insertion Sort,ordem-decrescente,5480,36818,0,15011974,15017453
Insertion Sort,ordem-decrescente,5490,33914,0,15066818,15072307
Insertion Sort,ordem-decrescente,5500,33907,0,15121760,15127259
Insertion Sort,ordem-decrescente,5510,35879,0,15176803,15182312
Insertion Sort,ordem-decrescente,5520,34145,0,15231947,15237466
Insertion Sort,ordem-decrescente,5530,34356,0,15287191,15292720
Insertion Sort,ordem-decrescente,5540,35221,0,15342535,15348074
Insertion Sort,ordem-decrescente,5550,34830,1,15397980,15403529
Insertion Sort,ordem-decrescente,5560,34930,0,15453523,15459082
Insertion Sort,ordem-decrescente,5570,34789,0,15509168,15514737
Insertion Sort,ordem-decrescente,5580,35486,0,15564908,15570487
Insertion Sort,ordem-decrescente,5590,34926,0,15620752,15626341
Insertion Sort,ordem-decrescente,5600,38430,0,15676696,15682295
Insertion Sort,ordem-decrescente,5610,36056,0,15732739,15738348
Insertion Sort,ordem-decrescente,5620,35443,0,15788884,15794503
Insertion Sort,ordem-decrescente,5630,38189,0,15845126,15850755
Insertion Sort,ordem-decrescente,5640,35868,0,15901469,15907108
Insertion Sort,ordem-decrescente,5650,36140,0,15957913,15963562
Insertion Sort,ordem-decrescente,5660,36487,0,16014457,16020116
Insertion Sort,ordem-decrescente,5670,36373,0,16071100,16076769
Insertion Sort,ordem-decrescente,5680,36611,0,16127843,16133522
Insertion Sort,ordem-decrescente,5690,37440,0,16184687,16190376
Insertion Sort,ordem-decrescente,5700,36477,0,16241630,16247329
Insertion Sort,ordem-decrescente,5710,37925,0,16298668,16304377
Insertion Sort,ordem-decrescente,5720,37112,0,16355811,16361530
Insertion Sort,ordem-decrescente,5730,37576,0,16413056,16418785
Insertion Sort,ordem-decrescente,5740,37766,0,16470400,16476139
Insertion Sort,ordem-decrescente,5750,37885,0,16527843,16533592
Insertion Sort,ordem-decrescente,5760,39322,1,16585387,16591146
Insertion Sort,ordem-decrescente,5770,37749,0,16643031,16648800
Insertion Sort,ordem-decrescente,5780,37655,0,16700774,16706553
Insertion Sort,ordem-decrescente,5790,38368,0,16758618,16764407
Insertion Sort,ordem-decrescente,5800,37838,0,16816562,16822361
Insertion Sort,ordem-decrescente,5810,38793,0,16874607,16880416
Insertion Sort,ordem-decrescente,5820,37959,0,16932751,16938570
Insertion Sort,ordem-decrescente,5830,38282,0,16990996,16996825
Insertion Sort,ordem-decrescente,5840,40573,0,17049337,17055176
Insertion Sort,ordem-decrescente,5850,40810,0,17107779,17113628
Insertion Sort,ordem-decrescente,5860,39055,0,17166321,17172180
