Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Selection Sort,ordem-decrescente,6800,47090,0,23116600,3693
Selection Sort,ordem-decrescente,6810,47335,0,23184645,3702
Selection Sort,ordem-decrescente,6820,49136,0,23252790,3714
Selection Sort,ordem-decrescente,6830,47373,0,23321035,3718
Selection Sort,ordem-decrescente,6840,47880,0,23389380,3731
Selection Sort,ordem-decrescente,6850,48147,0,23457825,3729
Selection Sort,ordem-decrescente,6860,47859,0,23526370,3725
Selection Sort,ordem-decrescente,6870,48284,0,23595015,3733
Selection Sort,ordem-decrescente,6880,47836,0,23663760,3743
Selection Sort,ordem-decrescente,6890,47996,0,23732605,3734
Selection Sort,ordem-decrescente,6900,48472,0,23801550,3761
Selection Sort,ordem-decrescente,6910,48663,0,23870595,3764
Selection Sort,ordem-decrescente,6920,49828,0,23939740,3773
Selection Sort,ordem-decrescente,6930,49065,0,24008985,3783
Selection Sort,ordem-decrescente,6940,49065,0,24078330,3787
Selection Sort,ordem-decrescente,6950,49398,0,24147775,3796
Selection Sort,ordem-decrescente,6960,49271,0,24217320,3796
Selection Sort,ordem-decrescente,6970,49089,0,24286965,3802
Selection Sort,ordem-decrescente,6980,49788,0,24356710,3806
Selection Sort,ordem-decrescente,6990,50251,0,24426555,3811
Selection Sort,ordem-decrescente,7000,51267,0,24496500,3820
Selection Sort,ordem-decrescente,7010,50838,0,24566545,3820
Selection Sort,ordem-decrescente,7020,50692,0,24636690,3831
Selection Sort,ordem-decrescente,7030,52287,0,24706935,3835
Selection Sort,ordem-decrescente,7040,50936,0,24777280,3835
Selection Sort,ordem-decrescente,7050,50984,0,24847725,3844
Selection Sort,ordem-decrescente,7060,51074,0,24918270,3862
Selection Sort,ordem-decrescente,7070,52319,0,24988915,3863
Selection Sort,ordem-decrescente,7080,57541,1,25059660,3863
Selection Sort,ordem-decrescente,7090,51632,0,25130505,3875
Selection Sort,ordem-decrescente,7100,53058,0,25201450,3868
Selection Sort,ordem-decrescente,7110,52346,0,25272495,3886
