Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Aleatorio,Aleatorio,890,122,0,22567,3987
Quick Sort Pivo Aleatorio,Aleatorio,900,93,0,22650,4103
Quick Sort Pivo Aleatorio,Aleatorio,910,108,0,25388,4968
Quick Sort Pivo Aleatorio,Aleatorio,920,98,0,20994,5383
Quick Sort Pivo Aleatorio,Aleatorio,930,98,0,24470,4947
Quick Sort Pivo Aleatorio,Aleatorio,940,111,0,25099,5322
Quick Sort Pivo Aleatorio,Aleatorio,950,101,0,22982,4431
Quick Sort Pivo Aleatorio,Aleatorio,960,101,0,26393,4566
Quick Sort Pivo Aleatorio,Aleatorio,970,112,0,24925,4441
Quick Sort Pivo Aleatorio,Aleatorio,980,104,0,30044,4576
Quick Sort Pivo Aleatorio,Aleatorio,990,103,0,28612,5233
Quick Sort Pivo Aleatorio,Aleatorio,1000,111,0,28460,4430
Quick Sort Pivo Aleatorio,Aleatorio,1010,120,0,30651,5353
Quick Sort Pivo Aleatorio,Aleatorio,1020,160,0,30638,5338
Quick Sort Pivo Aleatorio,Aleatorio,1030,118,0,33833,4063
Quick Sort Pivo Aleatorio,Aleatorio,1040,152,0,30263,5160
Quick Sort Pivo Aleatorio,Aleatorio,1050,118,0,29418,5365
Quick Sort Pivo Aleatorio,Aleatorio,1060,110,0,29110,5010
Quick Sort Pivo Aleatorio,Aleatorio,1070,111,0,27566,4691
Quick Sort Pivo Aleatorio,Aleatorio,1080,146,0,30748,4537
Quick Sort Pivo Aleatorio,Aleatorio,1090,115,0,31780,4580
Quick Sort Pivo Aleatorio,Aleatorio,1100,121,0,31685,5762
Quick Sort Pivo Aleatorio,Aleatorio,1110,147,0,34132,5571
Quick Sort Pivo Aleatorio,Aleatorio,1120,150,0,32391,5276
Quick Sort Pivo Aleatorio,Aleatorio,1130,128,0,36890,5135
Quick Sort Pivo Aleatorio,Aleatorio,1140,133,0,33579,6011
Quick Sort Pivo Aleatorio,Aleatorio,1150,172,0,31297,6546
Quick Sort Pivo Aleatorio,Aleatorio,1160,129,0,38086,5198
Quick Sort Pivo Aleatorio,Aleatorio,1170,131,0,31961,5572
Quick Sort Pivo Aleatorio,Aleatorio,1180,161,0,33960,6725
Quick Sort Pivo Aleatorio,Aleatorio,1190,155,0,33856,5248
Quick Sort Pivo Aleatorio,Aleatorio,1200,127,0,33502,5389
Quick Sort Pivo Aleatorio,Aleatorio,1210,141,0,34819,5924
Quick Sort Pivo Aleatorio,Aleatorio,1220,180,0,37971,5481
Quick Sort Pivo Aleatorio,Aleatorio,1230,159,0,40838,6132
Quick Sort Pivo Aleatorio,Aleatorio,1240,140,0,35772,6998
Quick Sort Pivo Aleatorio,Aleatorio,1250,196,0,36671,5913
Quick Sort Pivo Aleatorio,Aleatorio,1260,187,0,35170,6858
Quick Sort Pivo Aleatorio,Aleatorio,1270,277,0,37072,6042
Quick Sort Pivo Aleatorio,Aleatorio,1280,155,0,39616,5715
Quick Sort Pivo Aleatorio,Aleatorio,1290,145,0,37650,5077
