Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,970,88,0,9903,5677
Quick Sort Pivo Fixo,aleatorio,980,96,0,10151,6183
Quick Sort Pivo Fixo,aleatorio,990,102,0,10486,6368
Quick Sort Pivo Fixo,aleatorio,1000,77,0,10953,6163
Quick Sort Pivo Fixo,aleatorio,1010,98,0,11371,6040
Quick Sort Pivo Fixo,aleatorio,1020,103,0,10620,6728
Quick Sort Pivo Fixo,aleatorio,1030,82,0,11850,6371
Quick Sort Pivo Fixo,aleatorio,1040,100,0,11230,6347
Quick Sort Pivo Fixo,aleatorio,1050,88,0,12971,7877
Quick Sort Pivo Fixo,aleatorio,1060,83,0,12197,7388
Quick Sort Pivo Fixo,aleatorio,1070,114,0,10995,5863
Quick Sort Pivo Fixo,aleatorio,1080,94,0,12215,7102
Quick Sort Pivo Fixo,aleatorio,1090,85,0,12739,6377
Quick Sort Pivo Fixo,aleatorio,1100,112,0,11833,7244
Quick Sort Pivo Fixo,aleatorio,1110,190,0,12224,6620
Quick Sort Pivo Fixo,aleatorio,1120,109,0,12493,6878
Quick Sort Pivo Fixo,aleatorio,1130,115,0,12992,7808
Quick Sort Pivo Fixo,aleatorio,1140,106,0,12390,6969
Quick Sort Pivo Fixo,aleatorio,1150,112,0,13258,7407
Quick Sort Pivo Fixo,aleatorio,1160,90,0,12537,6253
Quick Sort Pivo Fixo,aleatorio,1170,120,0,13828,6905
Quick Sort Pivo Fixo,aleatorio,1180,113,0,13619,7442
Quick Sort Pivo Fixo,aleatorio,1190,94,0,14870,7402
Quick Sort Pivo Fixo,aleatorio,1200,94,0,12576,7069
Quick Sort Pivo Fixo,aleatorio,1210,100,0,13161,6930
Quick Sort Pivo Fixo,aleatorio,1220,103,0,13208,7378
Quick Sort Pivo Fixo,aleatorio,1230,124,0,13346,7615
Quick Sort Pivo Fixo,aleatorio,1240,133,0,15201,8872
Quick Sort Pivo Fixo,aleatorio,1250,102,0,15272,9691
Quick Sort Pivo Fixo,aleatorio,1260,100,0,13256,7741
Quick Sort Pivo Fixo,aleatorio,1270,98,0,14314,7364
Quick Sort Pivo Fixo,aleatorio,1280,133,0,15930,8909
Quick Sort Pivo Fixo,aleatorio,1290,131,0,15221,8753
Quick Sort Pivo Fixo,aleatorio,1300,118,0,13923,7590
